0.00, 0.00, 37.00, 46.00, 130.00, 117.00, 74.00, 57.00, 101.00, 126.00, 
35.00, 21.00, 0.00, 64.00, 131.00, 119.00, 91.00, 0.00, 5.00, 149.00, 
43.00, 43.00, 40.00, 146.00, 137.00, 125.00, 129.00, 5.00, 53.00, 196.00, 
162.00, 144.00, 158.00, 167.00, 169.00, 71.00, 153.00, 109.00, 103.00, 120.00, 
179.00, 114.00, 255.00, 163.00, 205.00, 147.00, 134.00, 207.00, 202.00, 210.00, 
167.00, 177.00, 200.00, 255.00, 255.00, 240.00, 211.00, 169.00, 196.00, 185.00, 
223.00, 255.00, 255.00, 209.00, 220.00, 166.00, 196.00, 54.00, 215.00, 252.00, 
122.00, 133.00, 156.00, 170.00, 179.00, 129.00, 190.00, 147.00, 243.00, 219.00, 
82.00, 105.00, 173.00, 49.00, 161.00, 24.00, 155.00, 99.00, 146.00, 255.00, 
0.00, 28.00, 89.00, 130.00, 93.00, 123.00, 145.00, 208.00, 164.00, 218.00, 
